iter	Passed	Remaining
462	773	896
463	774	894
464	775	892
465	776	890
466	778	887
467	779	885
468	780	883
469	781	881
470	782	878
471	783	876
472	787	877
473	788	875
474	789	873
475	790	870
476	792	868
477	793	866
478	794	863
479	795	861
480	796	859
481	798	857
482	801	857
483	802	855
484	803	853
485	804	851
486	806	849
487	807	847
488	808	844
489	809	842
490	810	840
491	812	838
492	813	836
493	814	834
494	816	832
495	817	830
496	819	828
497	820	826
498	821	824
499	822	822
500	823	820
501	825	818
502	826	816
503	827	814
504	831	814
505	832	812
506	833	810
507	834	808
508	836	806
509	837	804
510	838	802
511	839	800
512	840	798
513	841	796
514	842	793
515	844	791
516	846	790
517	847	788
518	848	786
519	849	784
520	850	782
521	851	779
522	852	777
523	853	775
524	855	773
525	856	771
526	857	769
527	858	767
528	860	765
529	861	763
530	862	761
531	863	759
532	864	757
533	865	755
534	866	753
535	868	751
536	869	749
537	870	747
538	871	745
539	872	743
540	873	741
541	876	740
542	878	739
543	879	737
544	880	735
545	881	733
546	883	731
547	884	729
548	885	727
549	886	725
550	887	723
551	889	721
552	890	719
553	891	717
554	893	716
555	894	714
556	895	712
557	896	710
558	897	708
559	898	706
560	900	704
561	901	702
562	902	700
563	903	698
564	906	697
565	907	695
566	908	693
567	909	691
568	910	689
569	911	687
570	913	686
571	914	684
572	915	682
573	916	680
574	917	678
575	918	676
576	919	674
577	921	672
578	922	670
579	923	668
580	924	666
581	925	664
582	926	662
583	927	660
584	928	659
585	930	657
586	931	655
587	932	653
588	933	651
589	938	652
590	939	650
591	940	648
592	942	646
593	943	644
594	944	642
595	945	641
596	946	639
597	947	637
598	949	635
599	950	633
600	951	631
601	953	630
602	954	628
603	955	626
604	957	624
605	958	623
606	959	621
607	960	619
608	961	617
609	962	615
610	963	613
611	965	611
612	966	610
613	967	608
614	968	606
615	970	604
616	971	602
617	972	601
618	973	599
619	974	597
620	975	595
621	976	593
622	977	591
623	979	589
624	981	589
625	982	587
626	984	585
627	985	583
628	986	581
629	987	579
630	988	578
631	989	576
632	990	574
633	991	572
634	993	570
635	994	569
636	995	567
637	996	565
638	997	563
639	999	562
640	1000	560
641	1001	558
642	1002	556
643	1003	554
644	1004	553
645	1006	551
646	1007	549
647	1008	547
648	1009	546
649	1012	545
650	1013	543
651	1015	541
652	1016	540
653	1017	538
654	1019	536
655	1020	535
656	1021	533
657	1022	531
658	1024	529
659	1026	528
660	1028	527
661	1029	525
662	1031	524
663	1032	522
664	1033	520
665	1034	518
666	1035	517
667	1036	515
668	1038	513
669	1039	511
670	1041	510
671	1043	509
672	1044	507
673	1045	505
674	1046	503
675	1047	502
676	1048	500
677	1049	498
678	1050	496
679	1051	495
680	1052	493
681	1058	493
682	1060	492
683	1061	490
684	1062	488
685	1063	486
686	1064	485
687	1066	483
688	1067	481
689	1068	480
690	1070	478
691	1071	476
692	1072	475
693	1073	473
694	1074	471
695	1075	469
696	1077	468
697	1078	466
698	1079	464
699	1080	462
700	1081	461
701	1082	459
702	1083	457
703	1086	456
704	1087	455
705	1088	453
706	1089	451
707	1091	449
708	1092	448
709	1093	446
710	1094	444
711	1095	443
712	1096	441
713	1097	439
714	1098	438
715	1103	437
716	1105	436
717	1106	434
718	1107	432
719	1108	431
720	1109	429
721	1110	427
722	1111	425
